iter	Logloss
0	0.6926257324
1	0.6915778024
2	0.6904783412
3	0.6894426618
4	0.6886647252
5	0.6876425607
6	0.6863595145
7	0.6850142997
8	0.6843205915
9	0.6836844744
10	0.6827900042
11	0.6815483311
12	0.6809160941
13	0.6802220808
14	0.6796515765
15	0.6787399728
16	0.6782386998
17	0.6774877058
18	0.6761802891
19	0.6750728934
20	0.6742195783
21	0.6733987863
22	0.672392055
23	0.6713061959
24	0.6707925851
25	0.6703820365
26	0.6698581369
27	0.6690416609
28	0.6684170096
29	0.6674996948
30	0.6663402012
31	0.6657763672
32	0.6650404576
33	0.6641610282
34	0.6631870815
35	0.6625562395
36	0.6615141514
37	0.6603070068
38	0.65939488
39	0.6574698748
40	0.6572647531
41	0.6564731271
42	0.6552496338
43	0.6545674351
44	0.6540835571
45	0.653500933
46	0.6525559344
47	0.651350708
48	0.6506458391
49	0.6498720878
50	0.6488524519
51	0.6481466239
52	0.6471708461
53	0.6466299874
54	0.6456961932
55	0.6452028111
56	0.6443287005
57	0.6436434937
58	0.6428272792
59	0.6415588379
60	0.6411186
61	0.6405140904
62	0.6396506173
63	0.6388681466
64	0.63748509
65	0.6366467285
66	0.6361717878
67	0.6347559466
68	0.6341657366
69	0.6337817383
70	0.6327051217
71	0.6320601109
72	0.6313840158
73	0.630848999
74	0.6302017212
75	0.6293329293
76	0.6287996129
77	0.6274036952
78	0.6270983015
79	0.6262766811
80	0.6258884975
81	0.6253834316
82	0.6246330043
83	0.6241946411
84	0.6237026542
85	0.6229903739
86	0.6219805036
87	0.6212363107
88	0.6203981236
89	0.6190907506
90	0.6185140119
91	0.6174556187
92	0.6168399484
93	0.6160291399
94	0.6145519584
95	0.6142835781
96	0.6139138358
97	0.6135550799
98	0.6129697527
99	0.6126994978
100	0.6111802891
101	0.6107034738
102	0.6093638393
103	0.6087131173
104	0.6083079311
105	0.606993539
106	0.6062565395
107	0.6060498919
108	0.6053861782
109	0.6045834351
110	0.6039685059
111	0.6033142526
112	0.6024573626
113	0.6018089076
114	0.6010236904
115	0.6004728481
116	0.599821167
117	0.598938773
118	0.5981889561
119	0.5972838048
120	0.5960884312
121	0.5955075945
122	0.5949765887
123	0.5945462472
124	0.5940248326
125	0.5933145142
126	0.5923470633
127	0.5919749233
128	0.5916114589
129	0.5906996373
130	0.5903476388
131	0.5899791173
132	0.5893468366
133	0.5886604091
134	0.5876200649
135	0.5869315447
136	0.5861437988
137	0.5858156477
138	0.5853645107
139	0.5846038818
140	0.5839052909
141	0.5832720075
142	0.582923584
143	0.5822990199
144	0.581880406
145	0.5813501848
146	0.5807042585
147	0.580137983
148	0.5791461182
149	0.5787700544
150	0.5785559082
151	0.5777776664
152	0.5773009818
153	0.57684021
154	0.5760440935
155	0.5755068534
156	0.5744442313
157	0.5741473389
158	0.573901716
159	0.5731231689
160	0.572799857
161	0.5726710728
162	0.5723229109
163	0.5714736067
164	0.5710730852
165	0.5702034651
166	0.5697194563
167	0.5691103254
168	0.568644322
169	0.568067627
170	0.5674422782
171	0.5670732335
172	0.5666937692
173	0.566169608
174	0.5659591239
175	0.5652413068
176	0.5648937116
177	0.5644744001
178	0.5638827079
179	0.563470459
180	0.562455052
181	0.5620000349
182	0.5615595354
183	0.5610321917
184	0.5603651646
185	0.5600110735
186	0.5595062256
187	0.5587761579
188	0.5583905901
189	0.5571494838
190	0.5567127773
191	0.5565334647
192	0.5560928345
193	0.5553263637
194	0.5549881417
195	0.5544200788
196	0.5539946202
197	0.5539594378
198	0.5531578718
199	0.552389352
200	0.5519117955
201	0.5513269915
202	0.550901838
203	0.5500769915
204	0.5498016357
205	0.54965162
206	0.5491072736
207	0.5487826974
208	0.5483499581
209	0.5474091012
210	0.5469153704
211	0.5462999616
212	0.5456280082
